Reichard Christoph;;;Kommunales Management im internationalen Vergleich;;;;;6;Druckerzeugnis;;Separata;EE Sep. 11;;;1992;YL7;YQ;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Spezielle Betriebswirtschaftslehren";Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder
IFF;;;IFF-Aktuell Kurs zu Steuerfragen im Verhältnis zwischen der Schweiz und den USA;unter besonderer Berücksichtigung des im Januar 1996 paraphierten neuen DBA;30./31.10.1996;;-;;Druckerzeugnis;Kursdokumentation;Haupt-Bibliothek;LE 136;St. Gallen;IFF;1996;LE;;;Interkantonales/Internationales Steuerrecht;USA;
EG;;;Finanzbericht 1987;;;;;57;Druckerzeugnis;;Haupt-Bibliothek;FA 110;Luxemburg;EG;1988;YL5;YM;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Internationaler Handel. Zahlungsbilanz und Wechselkurse";Finanzwirtschaft supranationaler Behörden
Musolf Lloyd D.;;;Some Recent Trends in the Mixed Economy;;;;0.669.00366.2;141-148;Druckerzeugnis;In: Andersen-James E. (Hrsg.): Economic Regulatory Policies;Haupt-Bibliothek;;London;Lexington Books;;YC;;;Wirtschaftswissenschaften;Wirtschaftstheorie, einschliesslich Geldtheorie;
Schweizerischer Bankverein;;;Dringliche und aufschiebbare Staatsaufgaben;;;;;109-;Druckerzeugnis;;Separata;AJ Sep. 09;Basel;Schweizerischer Bankverein;1966;YY;;;Wirtschaftswissenschaften;Regionale Wirtschaftspolitik. Stadtplanung;
Fontaneau Pierre;;;La fiscalité contractuelle;;;;;61-82;Druckerzeugnis;Blancher, R., Fontaneau, P. & Margairaz, A., (Hrsg.): Problèmes fiscaux d'aujourd'hui - 3ème série (1966-1967) France / Suisse. Bruxelles: Ecole supérieure des sciences fiscales;Haupt-Bibliothek;;Bruxelles;Ecole supérieure des sciences fiscales;;JB;;;Allgemeine Steuerrechtsliteratur;Festschriften, Sammelwerke, Bibliographien;
Sommer Werner;Schönenfeld Hans-Martin;;Fachwörterbuch für BWL-Wirtschaft und Steuerrecht und Lochkartenwesen;;;;;290;Druckerzeugnis;Deutsch - Englisch 3.A.;Haupt-Bibliothek;WD 106 1;Berlin;de Gruyter;1968;WD;;;Uebrige Literatur;Diverse Gebiete, Umweltschutz;
Board of Inland Revenue;;;Income Taxes outside the United Kingdom 1972;Vol. 1-8;;;;;Druckerzeugnis;;Haupt-Bibliothek;KA 307;London;Her Majesty's Stationery Office;1974;KA;;;Ausländisches Steuerrecht;Staatenverbände, Staatengruppen;
Allan Percy;;;Financial Management and Accounting Reforms in NSW;;;;;19;Druckerzeugnis;;Separata;VF Sep. 04;Sydney;Government Printing Service;1992;YL2;;;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Haushaltsaufstellung, -verwaltung und -kontrolle
Ehlert Wiking;;;Fiktiver und realer Handlungsspielraum der Staatsadministration am Beispiel der Städtebauförderung;;;;3-455-09150-4;143-166;Druckerzeugnis;In: GrottianPeter/Murswieck Axel: Handlungsspielräume der Staatsadministration;Haupt-Bibliothek;;Hamburg;Hoffmann und Campe;;YQ;;;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;
Blancher René;;;L'imposition de l'entreprise en France;;;;;46997;Druckerzeugnis;Blancher, R., Fontaneau, P. & Margairaz, A., (Hrsg.): Problèmes fiscaux d'aujourd'hui - 3ème série (1966-1967) France / Suisse. Bruxelles: Ecole supérieure des sciences fiscales;Haupt-Bibliothek;;Bruxelles;Ecole supérieure des sciences fiscales;;KE;;;Ausländisches Steuerrecht;Frankreich;
Ressler Gernot;;;Die Unterkapitalisierung im Körperschaftsteuerrecht;;;;978-3-7007-4092-6;161;Druckerzeugnis;Schriften und aktuelle Beiträge zum österreichischen Abgabenrecht, Bd. 57- hrsg. von Michael Lang, Josef Schuch und Claus Staringer;Haupt-Bibliothek;KD 122;Wien;Orac;2008;KD;;;Ausländisches Steuerrecht;Oesterreich;
Schroeder Thomas K.;;;Differences in performance measures between owners and managers for privatized hybrids;;;;-;211;Druckerzeugnis;;Haupt-Bibliothek;VE 168;Ann Arbor;UMI;1994;YL2;;;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Haushaltsaufstellung, -verwaltung und -kontrolle
Schmölders Günter;;;Grenzen der Staatsverschuldung;;;;;3;Druckerzeugnis;;Separata;DA Sep. 09;;;1967;YL2;YL7;;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;"Haushaltsaufstellung, -verwaltung und -kontrolle-	Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder"
Strauss Wolfgang;;;Restriktionen kommunaler Haushaltsplanung;am Beispiel der Stadt Duisburg;;;-;103-113;Druckerzeugnis;In: Mäding-Heinrich: Haushaltsplanung - Haushaltsvollzug - Haushaltskontrolle;Haupt-Bibliothek;;;;;YL2;;;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Haushaltsaufstellung, -verwaltung und -kontrolle
Schwab Nathalie;;;Effort social du canton de Neuchâtel-No. 22;;;;;69;Druckerzeugnis;;Haupt-Bibliothek;AF 228;Neuchâtel;Institut de recherches économiques et régionales;1989;YX;;;Wirtschaftswissenschaften;Sozialpolitik. Gesundheitswesen. Bildungsökonomie;
Rädler Albert J.;Jacob Friedhelm;;German Transfer Pricing;;;;3 7875 4021 0;130;Druckerzeugnis;International Taxation No. 4;Haupt-Bibliothek;LC 0670;Deventer;Kluwer;1984;LC;;;Interkantonales/Internationales Steuerrecht;Internationales Steuerrecht;
Bauer Lord;;;Foreign Aid- Third World Progress and Competitiveness;;;;-;57-67;Druckerzeugnis;in: ISC (Hrsg.), The Spirit of Competition;Haupt-Bibliothek;;;;;WD;;;Uebrige Literatur;Diverse Gebiete, Umweltschutz;
Pohmer Dieter;;;Zur Systematik und Praxis der Mehrwertsteuer unter besonderer Berücksichtigung der Entwicklung in Europa;;;;-;;Druckerzeugnis;in: Unternehmung und Steuer, Festschrift zum 80. Geburtstag von Peter Scherpf, S. 375 ff.;Haupt-Bibliothek;;;;;PE;;;Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern;Einkommen Selbständigerwerbender, Unternehmungsbesteuerung;
Gehrig Gerhard u. a.;;;Input-Output-Studien-Nr. 9;;;;;7;Druckerzeugnis;Ergebnisse der Input-Output-Rechnung 1964, Teil 1;Separata;AE Sep. 07;München;IFO-Institut für Wirtschaftsforschung;1964;YJ;;;Wirtschaftswissenschaften;Volkswirtschaftliches Rechnungswesen. Sonstiges, einzelnen Gruppen nicht zuweisbares statistisches Material;
Davenport Barbara C.;Nuttall Ronald L.;;Cost-Effective Medicaid Mental Health Policies;Design and Testing;;;0.8039.1240.4 0.8039.1241.2 Pbk;176-184;Druckerzeugnis;In: Datta-Lois-Ellin- Perloff-Robert (Hrsg.): Improving Evaluations;Haupt-Bibliothek;;Beverly Hills;Sage;;YL7;;;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder
HM Treasury;;;IADD Review;Value for Money;;;;21;Druckerzeugnis;;Separata;VE Sep. 16;;HM Treasury;1993;YL2;;;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Haushaltsaufstellung, -verwaltung und -kontrolle
Biehl Dieter;;;Zum Problem der Schätzung konjunktureller Effekte öffentlicher Haushalte und ihrer wirtschaftspolitischen Beeinflussbarkeit;;;;3.16.336431.4 (Kt.) 3.16.336432.2 (Ln.);51-77;Druckerzeugnis;In: Gahlen-Bernhard- Schneider-Hans Karl (Hrsg.): Grundfragen der Stabilitätspolitik;Haupt-Bibliothek;;Tübingen;J.C.B. Mohr;;YN;;;Wirtschaftswissenschaften;Konjunkturschwankungen, Stabilitätspolitik;
Bourn John;;;Evaluating the Performance of Central Government;;;;0 631 16961 X;25-47;Druckerzeugnis;In: Pollitt-Christopher: Handbook of Public Services Management;Haupt-Bibliothek;;Oxford;Blackwell;;YQ;;;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;
Zimmermann Horst;;;Änderungen in der Struktur der Staatsfinanzierung;;;;3.8047.1003.4;29-42;Druckerzeugnis;In: Zimmermann Horst (Hrsg.): Die Zukunft der Staatsfinanzierung;Haupt-Bibliothek;;Stuttgart;Wissenschaftliche Verlagsgesellschaft;1988;YL1;;;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Allgemeines
Schreiber Urs;;;Internationale Mobilität von Steuerbasen;Ist nationale Steuerpolitik noch möglich?;;;3 428 09270 8;29-88;Druckerzeugnis;In: Krause-Junk, Gerold & Richter, Rudolf, (Hrsg.): Steuersysteme der Zukunft. Berlin: Duncker & Humblot, 1998 (Schriften des Vereins für Socialpolitik, Band 256);Haupt-Bibliothek;;Berlin;Duncker & Humblot;;JA;;;Allgemeine Steuerrechtsliteratur;Allgemeines, Lehrbücher;
Selchert Friedrich Wilhelm;;;Internationalisierung der Rechnungslegung und Massgeblichkeitsprinzip;;;;-;913-934;Druckerzeugnis;In: Dann, Wilfried, Ehrlicher, Werner & etc., (Hrsg.): Unternehmenspolitik und Internationale Besteuerung;Haupt-Bibliothek;;;;;LD;;;Interkantonales/Internationales Steuerrecht;Deutschland;
Herzig Norbert;;;Grenzüberschreitende Fusion und Unternehmenswert;Die nationale Ausrichtung des körperschaftsteuerlichen Anrechnungsverfahren als Kooperationshindernis;;;-;621-644;Druckerzeugnis;In: Dann, Wilfried, Ehrlicher, Werner & etc., (Hrsg.): Unternehmenspolitik und Internationale Besteuerung;Haupt-Bibliothek;;;;;LD;;;Interkantonales/Internationales Steuerrecht;Deutschland;
Streck Michael;Korn Klaus;;Beratungsempfehlungen. 12 Jahre KOESDI-'Know-how' im ABC;;;;;203;Druckerzeugnis;Kölner Beratungsrichtlinien Nr. 5;Haupt-Bibliothek;KB 310;Köln;Arbeitskreis für Steuerrecht;1979;KB;;;Ausländisches Steuerrecht;Deutschland;
Zöller Paul;;;Zwischen Sammelbüchse und PC;;;;-;176-193;Druckerzeugnis;In: Biehal Franz/andere (Hrsg.): Lean Service;Haupt-Bibliothek;;;;;YP;;;Wirtschaftswissenschaften;Allgemeine Betriebswirtschaftslehre;
CED;;;Fiscal Issues in the Future of Federalism;;;;;283;Druckerzeugnis;;Haupt-Bibliothek;AA 173;New York;Committee for economic development (CED);1968;YB;;;Wirtschaftswissenschaften;Allgemeines. Methoden der W. Unterrichts- und Ausbildungsmethoden in den W., Wirtschaftspädagogik;
Deutscher Bundestag;;;Entwurf einer Bundeshaushaltsordnung (BHO);;;;;18;Druckerzeugnis;;Separata;VG Sep. 01;Bonn;Bundesrepublik Deutschland;1968;YL2;YL7;;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;"Haushaltsaufstellung, -verwaltung und -kontrolle-	Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder"
Vogel Klaus;;;Funkkolleg Recht;30. Kollegstudie 'Steuerrecht';;;;83;Druckerzeugnis;Studienbegleitbrief 12;Haupt-Bibliothek;KD 105;Weinheim;Beltz;1983;KD;;;Ausländisches Steuerrecht;Oesterreich;
Stoller Hermann;;;Kapitalmarktintegration in der EWG und Bemerkungen zur Besteuerung der Wertpapiere;;;;;137-162;Druckerzeugnis;In: Deutsche Gesellschaft für Betriebswirtschaft (Hrsg.): Perspektiven für die Steuerharmonisierung im Gemeinsamen Markt;Haupt-Bibliothek;;Berlin;Deutsche Gesellschaft für Betriebswirtschaft;;KA;;;Ausländisches Steuerrecht;Staatenverbände, Staatengruppen;
Hölzler Heinrich;;;Konzentrationsaspekte von Steuern-Staatsausgaben und öffentlicher Erwerbswirtschaft in der Bundesrepublik Deutschland;;;;3.16.336131.5;196;Druckerzeugnis;;Haupt-Bibliothek;AG 243;Tübingen;J.C.B. Mohr;1974;YN;;;Wirtschaftswissenschaften;Konjunkturschwankungen, Stabilitätspolitik;
Meier Alfred;;;Die Finanzierung der Spitalkosten;;;;;72-82;Druckerzeugnis;In: Meier-Alfred (Hrsg.): Generelle wirtschaftliche Überlegungen zur Krankenversicherung;Haupt-Bibliothek;;St. Gallen;Interdisziplinäres Forschungszentrum für die Gesundheit;;YX;;;Wirtschaftswissenschaften;Sozialpolitik. Gesundheitswesen. Bildungsökonomie;
Bombach Gottfried;;;Lohnpolitik-Einkommenspolitik-Indexierung;;;;3.258.02450.2;25-30;Druckerzeugnis;In: Celio-Nello (Hrsg.): Inflationsbekämpfung unter veränderten wirtschaftlichen und sozialen Bedingungen;Haupt-Bibliothek;;Bern;Paul Haupt;;YC;;;Wirtschaftswissenschaften;Wirtschaftstheorie, einschliesslich Geldtheorie;
Frey René L.;Frey Bruno S.;;Konjunktur-Staat und öffentliche Finanzen;;;;3.258.02450.2;31-42;Druckerzeugnis;In: Celio-Nello (Hrsg.): Inflationsbekämpfung unter veränderten wirtschaftlichen und sozialen Bedingungen;Haupt-Bibliothek;;Bern;Paul Haupt;;YC;;;Wirtschaftswissenschaften;Wirtschaftstheorie, einschliesslich Geldtheorie;
Bogenschütz Eugen;;;Erhaltung des Anrechnungsguthabens für Gesellschafter bei grenzüberschreitenden Verschmelzungen und Joint-Ventures durch Verknüpfung von Beteiligungen (Stapled Stock);;;;-;53-96;Druckerzeugnis;In: Haarmann-Wilhelm- Breuninger-Gottfried E.- u.a.: Finanzierungen, Ausschüttungen und Nutzungsüberlassungen im Internationalen Steuerrecht;Haupt-Bibliothek;;;;;LC;;;Interkantonales/Internationales Steuerrecht;Internationales Steuerrecht;
Michel P.;;;Die Verteilung der Arbeitsplätze und der berufstätigen Wohnbevölkerung sowie die Pendelwanderung in der Stadt un Region Bern;;;;;17;Druckerzeugnis;Teil A: Arbeitsplätze und berufstätige Wohnbevölkerung;Separata;AJ Sep. 27;Bern;Stadt- und Regionalforschungsstelle;1967;YY;;;Wirtschaftswissenschaften;Regionale Wirtschaftspolitik. Stadtplanung;
Vaterlaus Stephan;;;Integrierte ökonomisch-ökologische Gesamtrechnungen;;;;;34;Druckerzeugnis;Übersicht über theoretische und praktische Ansätze;Separata;WD Sep. 05;Basel;WWZ, Nachdruck;1993;WD;;;Uebrige Literatur;Diverse Gebiete, Umweltschutz;
Kamp M.E.;Seel B.;;Grundlegung der Finanzwissenschaft;;;;;144/158;Druckerzeugnis;1. A.;Haupt-Bibliothek;AA 178 1;Bonn;Peter Hanstein;1968;YB;;;Wirtschaftswissenschaften;Allgemeines. Methoden der W. Unterrichts- und Ausbildungsmethoden in den W., Wirtschaftspädagogik;
Voigtländer Hubertus;;;Direkte Lenkung oder Steuerung der Investitionen durch den Markt?;;;;3.434.30164.X;89-103;Druckerzeugnis;In: Fleischle Gerhard/Krüper Manfred (Hrsg.): Investitionslenkung - Überwindung oder Ergänzung der Marktwirtschaft?;Haupt-Bibliothek;;Frankfurt;Europäische Verlagsanstalt;;YC;;;Wirtschaftswissenschaften;Wirtschaftstheorie, einschliesslich Geldtheorie;
Henseler Peter;;;Funktionsanalytisch begründete Planungs--Budgetierungs- und Kontrolltrechniken als Beitrag zur Sanierung öffentlicher Haushalte?;;;;;57;Druckerzeugnis;;Separata;VB Sep. 06;;;1985;YL2;;;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Haushaltsaufstellung, -verwaltung und -kontrolle
Seaborg Glenn T.;;;The Erewhon Machine;Possibilities for Reconciling Goals by Way of New Technology;;;0.8018.1414.6 cloth 0.8018.1553.3 paper;125-138;Druckerzeugnis;In: Schurr-Sam H. (Hrsg.): Energy, Economic Growth, and the Environment;Haupt-Bibliothek;;Baltimore;Johns Hopkins University;;YN;;;Wirtschaftswissenschaften;Konjunkturschwankungen, Stabilitätspolitik;
Siong Jap Kim;Khan Ahmad;;Taxation in the Asia-Pacific Region;;;;-;211;Druckerzeugnis;;Haupt-Bibliothek;KL 109;Singapore;Asian Pacific Tax and Investment Research Centre;1985;KL;;;Ausländisches Steuerrecht;Asien;
Weinholf-Stünzi Heinz;Annen Emil;;Marktmenschen;Menschenmärkte;;;3-258-04357-4;111-131;Druckerzeugnis;In: Haller Matthias/Hauser Heinz/Zäch Roger/andere: Ergänzungen;Haupt-Bibliothek;;Bern;Paul Haupt;;YQ;;;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;
Staringer Claus;;;Dividendenbesteuerung und Kapitalverkehrsfreiheit;;;;-;93-118;Druckerzeugnis;In: Ruppe, Hans G., Sedlaczek, Michael & u.a., (Hrsg.): Kapitalverkehrsfreiheit und Steuerrecht;Haupt-Bibliothek;;;;;LP;;;Interkantonales/Internationales Steuerrecht;Oesterreich;
Möller Elke;;;Quantitative und qualitative Aspekte der Bildungsplanung in der Bundesrepublik Deutschland;;;;-;343-363;Druckerzeugnis;In: Schäfers-Bernhard: Gesellschaftliche Planung;Haupt-Bibliothek;;;;;YL2;;;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Haushaltsaufstellung, -verwaltung und -kontrolle
Verein Kommunalwissenschaftliches Dokumentationszentrum (KDZ);;;Gemeinden in der Wirtschaftspolitik;;;;;94;Druckerzeugnis;Möglichkeiten und Grenzen kommunaler Finanz- und Wirtschaftspolitik bei vermindertem wirtschaftlichem Wachstum;Haupt-Bibliothek;EC 144;Wien;Kommunalwissenschaftliches Dokumentationszentrum;1985;YL3;YQ;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Spezielle Betriebswirtschaftslehren";Finanzwirtschaft untergeordneter Gebietskörperschaften
Deutsches wissenschaftliches Steuerinstitut der Steuerberater und Steuerbevollmächtigten e.V.;;;Handbuch der Steuerveranlagungen ESt / KSt / GewSt / USt 1981;;;;3 406 08816 3;1102 + 931;Druckerzeugnis;;Haupt-Bibliothek;KB 205;München;Verlag C.H.Beck;1982;KB;;;Ausländisches Steuerrecht;Deutschland;
UNESCO Office of Statistics;;;The UNESCO Data Collection System;;;;0.89946.031.3 3.445.02068.X;87-104;Druckerzeugnis;In: Taylor Charles Lewis (Hrsg.): Indicator Systems for Political, Economic and Social Analysis;Haupt-Bibliothek;;Königstein;Anton Hain;;YB;;;Wirtschaftswissenschaften;Allgemeines. Methoden der W. Unterrichts- und Ausbildungsmethoden in den W., Wirtschaftspädagogik;
Lesch Hagen;;;Finanzpolitische Disziplin in einer Währungsunion;;;;;55;Druckerzeugnis;Ein 'Stabilitätspakt für Europa'?;Haupt-Bibliothek;AK 1211;Bonn;IFSt;1996;YC;;;Wirtschaftswissenschaften;Wirtschaftstheorie, einschliesslich Geldtheorie;
Gray Andrew;Jenkins Bill;;Changes in Resource Management in the Social Services;;;;0 631 16961 X;179-194;Druckerzeugnis;In: Pollitt-Christopher: Handbook of Public Services Management;Haupt-Bibliothek;;Oxford;Blackwell;;YQ;;;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;
Hötzli A.;;;Effizienzverbesserung eines Gemeindebetriebes;;;;3-908128-22-6;65-76;Druckerzeugnis;In: Kaufmann-Martin (Hrsg.)- und andere: Erfolg im öffentlichen Bereich;Haupt-Bibliothek;;Bern;SGVW;;YQ;;;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;
HHS;;;Individuum und Gemeinschaft;;;;;628;Druckerzeugnis;Festschrift zur 50-Jahrfeier der HHS, St. Gallen;Haupt-Bibliothek;AA 110;St. Gallen;Fehr'sche Buchhandlung;1949;YB;;;Wirtschaftswissenschaften;Allgemeines. Methoden der W. Unterrichts- und Ausbildungsmethoden in den W., Wirtschaftspädagogik;
Albers Willi;;;Langfristige Finanzierbarkeit der gesetzlichen Rentenversicherung;;;;3.8047.1003.4;123-141;Druckerzeugnis;In: Zimmermann Horst (Hrsg.): Die Zukunft der Staatsfinanzierung;Haupt-Bibliothek;;Stuttgart;Wissenschaftliche Verlagsgesellschaft;1988;YL1;;;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Allgemeines
Ketterer Karl-Heinz;Simmert Diethard B.;;Moderne Quantitätstheorie und Laissez-faire-Liberalismus;;;;;79-93;Druckerzeugnis;Einige Anmerkungen zu den ordnungspolitischen Funktionsbedingungen des Monetarismus In: Köhler-Claus (Hrsg.): Geldpolitik - kontrovers;Haupt-Bibliothek;;Köln;Bund-Verlag;;YK;;;Wirtschaftswissenschaften;Geld, Kredit- und Bankwesen. Bankbetriebslehre;
Rohner Willi;;;Landesplanung;Notwendigkeit-Möglichkeiten und Grenzen;;;;85-96;Druckerzeugnis;in: Die Bedrohung unseres Lebensraumes;Haupt-Bibliothek;AJ 163;Zürich;NZZ;1969;YY;;;Wirtschaftswissenschaften;Regionale Wirtschaftspolitik. Stadtplanung;
Schäfer Friedrich u. a.;;;Finanzwissenschaft und Finanzpolitik;;;;;350;Druckerzeugnis;Festgabe für Schoettle Erwin;Haupt-Bibliothek;AA 127;Tübingen;Mohr;1964;YB;;;Wirtschaftswissenschaften;Allgemeines. Methoden der W. Unterrichts- und Ausbildungsmethoden in den W., Wirtschaftspädagogik;
Management Information Service;;;Goal setting inlocal government;;;;;12;Druckerzeugnis;;Separata;EA Sep. 18;Washington;International City/Country Management Association;1995;YQ;;;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;
Bac Aad D.;;;Government Accounting and Auditing in the Netherlands;;;;1.55938.415.8;265-288;Druckerzeugnis;;Separata;VF Sep. 06;;HAI Press Inc.;1992;YL2;;;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Haushaltsaufstellung, -verwaltung und -kontrolle
Bucher Erwin;;;Historische Grundlegung;Die Entwicklung der Schweiz zu einem politischen System;;;-;13-24;Druckerzeugnis;In: Steiner, Jürg (. & und andere, (Hrsg.): Das politische System der Schweiz;Haupt-Bibliothek;;;;;WD;;;Uebrige Literatur;Diverse Gebiete, Umweltschutz;
Blanc Cécile;Ildis Nicole;;Le compte de l'éducation et le compte de l'éducation supérieure Années 1991 à 1994;;;;005.95.2.60;167;Druckerzeugnis;;Haupt-Bibliothek;VA 154;Paris;Ministère de l'éducation nationale;1995;YL2;;;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Haushaltsaufstellung, -verwaltung und -kontrolle
Steinhöfler Karl H.;;;Kommunale Umweltpolitik;;;;3.85212.007.1;146;Druckerzeugnis;;Haupt-Bibliothek;AJ 259;Wien;Österreichischer Wirtschaftsverlag;1974;YY;;;Wirtschaftswissenschaften;Regionale Wirtschaftspolitik. Stadtplanung;
Canadian Tax Journal;;;Excerpts from Report Royal Commission on Taxation;;;;-;;Druckerzeugnis;;Haupt-Bibliothek;KJ 101;Toronto;Canadian Tax Foundation;1967;KJ;;;Ausländisches Steuerrecht;Kanada;
Krysmanski Renate;;;Grundfragen und Entwicklung der Raumplanung in der Bundesrepublik Deutschland;;;;-;253-283;Druckerzeugnis;In: Schäfers-Bernhard: Gesellschaftliche Planung;Haupt-Bibliothek;;;;;YL2;;;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Haushaltsaufstellung, -verwaltung und -kontrolle
IFF;;;Internationales Steuerseminar 2011;22./23.11.2011;;;-;;Druckerzeugnis;Kursunterlagen;Haupt-Bibliothek;LC 6173 3;St. Gallen;IFF;2011;LC;;;Interkantonales/Internationales Steuerrecht;Internationales Steuerrecht;
Frey;Hans-Erich;;Agonie des Bürokratiemodells?;;;;3-593-35167-6;23-47;Druckerzeugnis;In: Steger- Ulrich: Lean Administration: Die Krise der öffentlichen Verwaltung als Chance Wo fehlt der politische Wille, wo hemmen Vorschriften die Reform des öffentlichen (kommunalen) Sektors?;Haupt-Bibliothek;;Frankfurt;Campus;;YQ;;;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;
Stikeman H. Heward;;;Ein Führer durch das kanadische Steuergesetz;;;;;146;Druckerzeugnis;;Haupt-Bibliothek;KJ 105;Montreal;S & E Management Ltd.;1973;KJ;;;Ausländisches Steuerrecht;Kanada;
IFF;;;St.Galler Seminar 2012 zur Mehrwertsteuer;27./28.3.2012;;;-;;Druckerzeugnis;Kursunterlagen;Haupt-Bibliothek;QB 260;St. Gallen;IFF;2012;QB;;;Verbrauchsteuern;Umsatzsteuer;
Bank Indonesia;;;Indonesian financial statistics;;;;;80-82;Druckerzeugnis;Monatliches Bulletin, März 1972;Separata;AE Sep. 12;;;1972;YJ;;;Wirtschaftswissenschaften;Volkswirtschaftliches Rechnungswesen. Sonstiges, einzelnen Gruppen nicht zuweisbares statistisches Material;
IFF;;;Kurs Mehrwertsteuer;6./7.10.1998;;;-;;Druckerzeugnis;Kursdokumentation für das Seminar an der Uni St.Gallen;Haupt-Bibliothek;QB 222;St. Gallen;IFF;1998;QB;;;Verbrauchsteuern;Umsatzsteuer;
Zapf Wolfgang;;;Zur Theorie der Wohlfahrtsproduktion. Öffentliche und private Aktivitäten in Perspektive;;;;3.8204.5457.8;43466;Druckerzeugnis;In: Wille-Eberhard (Hrsg.): Konzeptionelle Probleme öffentlicher Planung;Haupt-Bibliothek;;Frankfurt;Peter Lang;;YY;;;Wirtschaftswissenschaften;Regionale Wirtschaftspolitik. Stadtplanung;
Presse- und Informationsamt der Bundesregierung;;;Grenzen fallen;Märkte öffnen sich Die Chancen der deutschen Wirtschaft am Beginn einer neuen Ära;;;;41;Druckerzeugnis;Zusammenfassung der Strukturberichterstattung 1990 des Ifo-Instituts für Wirtschaftsforschung, München;Separata;AK Sep. 438;Bonn;Presse- und Informationsamt der Bundesregierung;1990;YR;;;Wirtschaftswissenschaften;Gewerbepolitik. Einzelne Wirtschaftszweige;
Deutsches Institut für Urbanistik;;;Kommunaler Investitionsbedarf bis 1990;;;;3.88118.059.1;219;Druckerzeugnis;Grundlagen - Probleme - Perspektiven;Haupt-Bibliothek;VC 186;Berlin;difu;1980;YL2;;;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Haushaltsaufstellung, -verwaltung und -kontrolle
Stern Klaus;Münch Paul;;Gesetz zur Förderung der Stabilität und des Wachstums der Wirtschaft vom 8. Juni 1967 (BGBI. I S. 582);;;;;216;Druckerzeugnis;;Haupt-Bibliothek;AG 136;Stuttgart;W. Kohlhammer;1967;YN;;;Wirtschaftswissenschaften;Konjunkturschwankungen, Stabilitätspolitik;
Küpper Ulrich;;;Gestaltung des Investitions-Controlling in anlageintensiven öffentlichen Institutionen;;;;-;11324;Druckerzeugnis;In: Weber Jürgen/Tylkowsky Otto/andere (Hrsg.)- Konzepte und Instrumente von Controlling-Systemen in öffentlichen Institutionen;Haupt-Bibliothek;;;;;YL2;;;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Haushaltsaufstellung, -verwaltung und -kontrolle
Dammann Klaus;Grunow Dieter;Japp Klaus P.;Theorie der Verwaltungswissenschaft;nach mehr als einem Vierteljahrhundert;;;3-531-12373-4;229-247;Druckerzeugnis;In: Dammann-Klaus- und andere: Die Verwaltung des politischen Systems;Haupt-Bibliothek;;Opladen;Westdeutscher Verlag;;YQ;;;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;
