Hey Johanna;Harmonisierung der Unternehmensbesteuerung in Europa;3-504-64108-8;416;Druckerzeugnis;37960.35069;Ein Vorschlag unter Auswertung des Ruding-Berichts und der US-amerikanischen 'integration debate' Steuerfragen der Wirtschaft, Bd. 7;Haupt-Bibliothek;LC 6147;Köln;Verlag Dr. Otto Schmidt;1997;0;LC;0;0;Interkantonales/Internationales Steuerrecht;Internationales Steuerrecht;0
Starrett David A.;Foundations of Public Economics;0.521.34256.2;291;Druckerzeugnis;37960.35069;0;Haupt-Bibliothek;AA 325;Cambridge und andere;Cambridge University Press;1988;0;YB;0;0;Wirtschaftswissenschaften;Allgemeines. Methoden der W. Unterrichts- und Ausbildungsmethoden in den W., Wirtschaftspädagogik;0
Fox Karl A.;Intermediate Economic Statistics;0;559;Druckerzeugnis;37960.35069;0;Haupt-Bibliothek;AE 124;New York;John Wiley & Sons, Inc.;1968;0;YJ;0;0;Wirtschaftswissenschaften;Volkswirtschaftliches Rechnungswesen. Sonstiges, einzelnen Gruppen nicht zuweisbares statistisches Material;0
IFSt;IFSt-Schrift 404;3-89737-099-9;95;Druckerzeugnis;37960.35069;Institut 'Finanzen und Steuern';Haupt-Bibliothek;Z 153 404;Bonn;Institut 'Finanzen und Steuern';2003;0;Z;0;0;Zeitschriften;0;0
BIGA;Kostenrechnung für Fachhochschulen;0;41;Druckerzeugnis;38360;Ein Leitfaden des BIGA;Haupt-Bibliothek;VF 140;Bern;BIGA;1997;0;YL2;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Haushaltsaufstellung, -verwaltung und -kontrolle
Schubert B./Hug C./u.a.;Landschaftsplanung (Sondernummer);0;9 + 17 Pläne;Druckerzeugnis;37960.35069;0;Haupt-Bibliothek;AJ 180;Zürich;ORL-Institut ETH-Zürich;1970;0;YY;0;0;Wirtschaftswissenschaften;Regionale Wirtschaftspolitik. Stadtplanung;0
Bachmann Otto;Entwicklung und Stand der Notenbankpolitik in den Ländern des Gemeinsamen Marktes und Möglichkeiten einer zukünftigen Gestaltung;0;134;Druckerzeugnis;38236;Dissertation der Uni Freiburg, 1968;Haupt-Bibliothek;AK 0227;Frankfurt a.M.;Masch.-Schrift;1968;0;YK;0;0;Wirtschaftswissenschaften;Geld, Kredit- und Bankwesen. Bankbetriebslehre;0
Lüthi Daniel;Die Unterkapitalisierung von Kapitalgesellschaften im internationalen Steuerrech;3 7272 9220 2;573-591;Druckerzeugnis;37960.35069;In: Reich, M. & Zweifel, M., (Hrsg.): Das schweizerische Steuerrecht - Eine Standortbestimmung Festschrift zum 70. Geburtstag von Prof. Dr. Ferdinand Zuppinger;Haupt-Bibliothek;-;Bern;Stämpfli & Cie AG;-;0;LC;0;0;Interkantonales/Internationales Steuerrecht;Internationales Steuerrecht;0
IFF;Internationales Steuerseminar 2012 -  20./21.11.2012;-;-;Druckerzeugnis;41465.45972;Kursunterlagen;Haupt-Bibliothek;LC 6173 4;St.Gallen;IFF;2012;0;LC;0;0;Interkantonales/Internationales Steuerrecht;Internationales Steuerrecht;0
Spinner Bruno/Maritz Daniel;EG-Kompatibilität des schweizerischen Wirtschaftsrechts: Vom autonomen zum systematischen Nachvollzug;3 7255 3887 5;S. 127-138;Druckerzeugnis;37960.35069;In: Baldi, Marino, Baumann, Max & u.a., (Hrsg.): Der Einfluss des europäischen Rechts auf die Schweiz, Festschrift für Professor Roger Zäch zum 60. Geburtstag;Haupt-Bibliothek;-;Zürich;Schulthess Polygraphischer Verlag;-;0;WB;0;0;Uebrige Literatur;Oeffentliches Recht;0
Gornas Jürgen;Grundzüge einer Verwaltungskostenrechnung;3-7890-2659-X;241;Druckerzeugnis;37960.35069;Die Kostenrechnung als Instrument zur Planung und Kontrolle der Wirtschaftlichkeit in der öffentlichen Verwaltung - Schriften zur öffentlichen Verwaltung und öffentlichen Wirtschaft, Bd. 13;Haupt-Bibliothek;VF 125;Baden-Baden;Nomos;1992;0;YL2;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Haushaltsaufstellung, -verwaltung und -kontrolle
World Health Organization;Evonomic research into health serv;92.890.1218.8;36;Druckerzeugnis;38097;Report on a WHO-Workshop;Separata;X Sep. 04;Kopenhagen;WHO-Office;1981;0;YX;0;0;Wirtschaftswissenschaften;Sozialpolitik. Gesundheitswesen. Bildungsökonomie;0
Parry Robert W./Sharp Florence C./Vreeland Jannet/Wallace Wanda A.;Fire Department Programs;0910065-44-6;86;Druckerzeugnis;37960.35069;Service Efforts and Accomplishments Reporting: Its Time Has Come;Haupt-Bibliothek;VE 180 09;Norwalk/USA;GASB;1991;0;YL2;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Haushaltsaufstellung, -verwaltung und -kontrolle
Scherer Josef;Die Wirtschaftsverfassung der EWG;3.7890.0014.0;205;Druckerzeugnis;37874;Europäische Wirtschaft;Haupt-Bibliothek;FB 114;Baden Baden;Nomos Verlagsgesellschaft;1970;0;YL5;YM;0;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Internationaler Handel. Zahlungsbilanz und Wechselkurse";Finanzwirtschaft supranationaler Behörden
OCDE;Investir dans le tiers monde;92.64.21438.0;129;Druckerzeugnis;37960.35069;3. A.;Haupt-Bibliothek;AK 0535;Paris;OECD;1975;0;YM;0;0;Wirtschaftswissenschaften;Internationaler Handel. Zahlungsbilanz und Wechselkurse;0
Lüder Klaus/u.a.;Vergleichende Analyse öffentlicher Rechnungssysteme;0179-2326;274;Druckerzeugnis;37960.35972;Konzeptionelle Grundlagen für das staatliche Rechnungswesen mit besonderer Brücksichtigung der Bundesrepublik Deutschland - Speyerer Forschungsberichte, Bd. 97;Haupt-Bibliothek;VF 121;Speyer;Forschungsinstitut für öffentliche Verwaltung;1991;0;YL2;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Haushaltsaufstellung, -verwaltung und -kontrolle
Smith Bruce L. R./Caroll James D.;Improving the Accountability and Performance of Government;0-8157-7793-3;123;Druckerzeugnis;37960.35069;0;Haupt-Bibliothek;EA 199;Washington;Brooking Institution;1982;0;YQ;0;0;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;0
Arndt Klaus Dieter;Konjunkturpolitik;-;73-133;Druckerzeugnis;37960.35069;Zeitschrift für angewandte Konjunkturforschung, 14. Jg., 2. Heft 1968;Haupt-Bibliothek;VC 109;Berlin;Duncker & Humblot;1968;0;YL2;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Haushaltsaufstellung, -verwaltung und -kontrolle
Sachverständigenrat zur Begutachtung der gesamtwirtschafltichen Entwicklung;Jahresgutachten 1979/80: Herausforderung von Aussen;3-17-003188-0;321;Druckerzeugnis;37960.35069;Jahresgutachten 1979/80;Haupt-Bibliothek;AG 201 16;Stuttgart / Mainz;Verlag W. Kohlhammer GmbH;1979;0;YN;0;0;Wirtschaftswissenschaften;Konjunkturschwankungen, Stabilitätspolitik;0
Leitner Roman;Finanzstrafrecht 2012;978-3-7073-2293-4;272;Druckerzeugnis;41467.63403;FinStrG-Novelle 2010: Abgabenbetrug, Vortaten der Geldwäscherei, Sanktionensystem neu;Haupt-Bibliothek;MH 147;Wien;Linde Verlag;2013;0;MH;0;0;Verfahrensrecht und Steuerstrafrecht;Allgemeines Steuerstrafrecht;0
Kolms Heinz;Finanzwissenschaft IV;3-11-006939-3;237;Druckerzeugnis;37960.35069;Öffentlicher Kredit Öffentlicher Haushalt Finanzausgleich;Haupt-Bibliothek;AA 120 IVa;Berlin;Walter de Guyter & Co.;1976;0;YB;0;0;Wirtschaftswissenschaften;Allgemeines. Methoden der W. Unterrichts- und Ausbildungsmethoden in den W., Wirtschaftspädagogik;0
Schmidt Ludwig;Einkommensteuergesetz - Kommentar;3 406 08663 2;1779;Druckerzeugnis;38077.52431;0;Haupt-Bibliothek;KB 313 1;München;C.H. Beck;1982;0;KB;0;0;Ausländisches Steuerrecht;Deutschland;0
Ruppe Hans Georg;Einführung zum EStG;-;371;Druckerzeugnis;38077.52222;Sonderdruck aus Herrmann/Heuer/Raupach- Kommentar zm EStG und KStG;Haupt-Bibliothek;KB 304 01.1;Köln;Dr. Otto Schmidt KG;1990;0;KB;0;0;Ausländisches Steuerrecht;Deutschland;0
Möller Elke;Die Chancengleichheit als Ziel der Bildungsplanung;-;334-343;Druckerzeugnis;37960.35069;In: Schäfers-Bernhard: Gesellschaftliche Planung;Haupt-Bibliothek;-;-;-;-;0;YL2;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Haushaltsaufstellung, -verwaltung und -kontrolle
Kappeler Beat;Zur sozialen Dimension des Binnenmarktprogramms;3.906088.05.7;177-184;Druckerzeugnis;37960.35069;In: Brauchlin Emil: EG 92 und die Schweiz: Unternehmerische Chancen und Risiken;Haupt-Bibliothek;-;St. Gallen;FIM Forschungsstelle für Internationales Management;-;0;YL5;YM;0;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Internationaler Handel. Zahlungsbilanz und Wechselkurse";Finanzwirtschaft supranationaler Behörden
Ehrlicher Werner;Kompendium der Volkswirtschaftslehre;0;395;Druckerzeugnis;37960.35069;0;Haupt-Bibliothek;AA 124 1;Göttingen;Vandenhoeck & Ruprecht;1967;0;YB;0;0;Wirtschaftswissenschaften;Allgemeines. Methoden der W. Unterrichts- und Ausbildungsmethoden in den W., Wirtschaftspädagogik;0
Marshall A. H.;Financial Management in Local Government;0 04 352050 2 Hardback 0 04 352051 0 Papercack;380;Druckerzeugnis;37960.35069;0;Haupt-Bibliothek;EB 103;London;George Allen & Unwin Ltd.;1974;0;YL7;YQ;0;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Spezielle Betriebswirtschaftslehren";Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder
Schneider H. R.;EDV-Lösungskonzepte in der Kommunalverwaltung;0;4;Druckerzeugnis;37960.35069;Verwaltungspraxis;Separata;EC Sep. 01;Solothurn;0;1975;0;YL3;YQ;0;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Spezielle Betriebswirtschaftslehren";Finanzwirtschaft untergeordneter Gebietskörperschaften
Pozzi Leone;Le système de gestion comptable des finances publiques;0;26;Druckerzeugnis;38097;0;Separata;VF Sep. 03;Paris;Librairie Générale de Droit et de Jurisprudence;1957;0;YL2;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Haushaltsaufstellung, -verwaltung und -kontrolle
Kanne Jürgen;Interne Investitionsfinanzierung in Afghanistan;0;627;Druckerzeugnis;37960.35069;Inaugural-Dissertation der Ruhr-Universität Bochum;Haupt-Bibliothek;AK 0531;0;Offset;1974;0;YM;0;0;Wirtschaftswissenschaften;Internationaler Handel. Zahlungsbilanz und Wechselkurse;0
Buschor Ernst/Beck Roland;Europäische Öffnung der öffentlichen Submission?;3-258-04357-4;359-375;Druckerzeugnis;37960.35069;In: Haller Matthias/Hauser Heinz/Zäch Roger/andere: Ergänzungen;Haupt-Bibliothek;-;Bern/Stuttgart;Paul Haupt;-;0;YQ;0;0;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;0
Kragen Adrian A./McNulty John K.;Federal Income Taxation;-;1180;Druckerzeugnis;38077.57153;Cases and Materials American Casebook Series;Haupt-Bibliothek;PC 130 1;St.Paul;West Publishing Co.;1970;0;PC;0;0;Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern;Einkommensteuer allgemein;0
Hofmeister Albert;Effizienz und öffentliches Dienstrecht;-;100;Druckerzeugnis;37960.35069;Versuch einer kritischen Bilanz - Schriftenreihe der Schweizerischen Gesellschaft für Verwaltungswissenschaften (SGVW), Bd. 12 (Tagung der SGVW vom 7. November 1988);Haupt-Bibliothek;EA 266;Bern;Schweizerische Gesellschaft für Verwaltungswissenschaften;1990;0;YQ;0;0;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;0
Grottian Peter/Murswieck Axel;Zur theoretischen und empirischen Bestimmung von politisch-administrativen Handlungsspielräumen;3-455-09150-4;15-35;Druckerzeugnis;37960.35069;In: Grottian Peter/Murswieck Axel: Handlungsspielräume der Staatsadministration;Haupt-Bibliothek;-;Hamburg;Hoffmann und Campe;-;0;YQ;0;0;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;0
Watter Rolf/Vogt Nedim Peter/Bösch René/Rayroux François/Winzeler Christoph;Kollektivanlagengesetz - Vor Art. 1 Abschnitte 1-4;-;219;Druckerzeugnis;39997.42986;Basler Kommentar - Unverkäuflicher Sonderdruck;HB Steuerrecht;PA 124;Basel;Helbing Lichtenhahn Verlag;2009;0;PA;0;0;Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern;Allgemeines;0
Walker Felix;Die Wasserkraftnutzung im Wallis unter besonderer Berücksichtigung der finanzwirtschaftlichen Auswirkungen auf Kanton und Gemeinden;-;112;Druckerzeugnis;37960.35069;Dissertation der Universität Freiburg, 1967;Haupt-Bibliothek;AK 0406;Baden;Schweizerischer Wasserwirtschaftsverband;1967;0;YR;0;0;Wirtschaftswissenschaften;Gewerbepolitik. Einzelne Wirtschaftszweige;0
OECD;Government Debt Management - 1982;92-64-12299-0;60;Druckerzeugnis;37960.35069;Objectives and Techniques - Committee on Financial Markets;Haupt-Bibliothek;DA 157 1;Paris;OECD;1982;0;YL2;YL7;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;"Haushaltsaufstellung, -verwaltung und -kontrolle-	Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder"
Hochreutener Hans Peter;Esquisse des droits de timbre fédéraux suisses;3 7190 1669 2;63;Druckerzeugnis;37960.35069;0;Haupt-Bibliothek;RA 207;Basel und Frankfurt am Main;Helbing & Lichtenhahn;1998;0;RA;0;0;Uebrige Steuern;Stempelabgabe, Wertpapier-Umsatzsteuer;0
IFF;IFF-Aktuell Seminar 'Spezialfragen zur Mehrwertsteuerabrechnung / Stand der politischen Entwicklung' -  29./30.3.1995;-;-;Druckerzeugnis;37960.35069;Kursunterlagen;Haupt-Bibliothek;QB 412;St.Gallen;IFF;1995;0;QB;0;0;Verbrauchsteuern;Umsatzsteuer;0
IFSt;IFSt-Brief 227;-;49;Druckerzeugnis;37960.35069;0;Haupt-Bibliothek;Z 153 227;Bonn;Institut 'Finanzen und Steuern';1983;0;Z;0;0;Zeitschriften;0;0
Steinmann Walter;Grundlagen-Träger-Entscheidungsprozesse und parastaatliche Aspekte der kantonalen Wirtschaftsförderungspolitik;0;65;Druckerzeugnis;38360;Forschungsprojekt: Parastaatliche Verwaltung Die Erfüllung öffentlicher Aufgaben durch private und halbstaatliche Institutionen;Haupt-Bibliothek;AJ 387;Zürich;Institut für Orts-, Regional- und Landesplanung, ETH-Hönggerberg;1980;0;YY;0;0;Wirtschaftswissenschaften;Regionale Wirtschaftspolitik. Stadtplanung;0
Lang Michael;Einführung in das Recht der Doppelbesteuerungsabkommen;3-85122-695-X;172;Druckerzeugnis;37960.35069;0;Haupt-Bibliothek;LC 0192;Wien;Linde Verlag;1997;0;LC;0;0;Interkantonales/Internationales Steuerrecht;Internationales Steuerrecht;0
Sutter Franz Philipp/Zehetner Ulf;Triangular Tax Cases;978-3-7073-0704-7;576;Druckerzeugnis;40022.675;Schriftenreihe zum Internationalen Steuerrecht, Bd. 34;Haupt-Bibliothek;LC 1011;Wien;Linde Verlag;2004;0;LC;0;0;Interkantonales/Internationales Steuerrecht;Internationales Steuerrecht;0
Knechtenhofer Bernhard;Der Einbezug von Beteiligungen in den jährlichen Abschluss der Gemeinde;3-258-06687-6;330;Druckerzeugnis;40028.72014;Schriftenreihe des Instituts für Öffentliche Dienstleistungen und Tourismus - Beiträge zum Öffentlichen Management- Bd. 7 Hrsg. von Thomas Bieger, Kuno Schedler und Roland Scherer;Haupt-Bibliothek;YQ 002;Bern / Stuttgart / Wien;Haupt Verlag;2003;0;YQ;0;0;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;0
von Armin Hans Herbert;Finanzkontrolle im Wandel;3-428-06732-0;328;Druckerzeugnis;37960.35069;Vorträge und Diskussionsbeiträge der 15. Verwaltungswissenschaftlichen Arbeitstagung 1988 des Forschungsinstituts für öffentliche Verwaltung bei der Hochschule für Verwaltungswissenschaften Speyer;Haupt-Bibliothek;VE 124;Berlin;Duncker & Humblot;1989;0;YL2;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Haushaltsaufstellung, -verwaltung und -kontrolle
IBFD;European Tax Handbook 2000;90-76078-31-9;642;Druckerzeugnis;37960.35069;0;Haupt-Bibliothek;KA 336;Amsterdam;International Bureau of Fiscal Documentation;2000;0;KA;0;0;Ausländisches Steuerrecht;Staatenverbände, Staatengruppen;0
Blankenburg Erhard/Schmid Günther/Treiber Hubert;Von der reaktiven zur aktiven Politik? Darstellung und Kritik des Policy Science-Ansatzes;3-455-09150-4;35-50;Druckerzeugnis;37960.35069;In: Grottian Peter/Murswieck Axel: Handlungsspielräume der Staatsadministration;Haupt-Bibliothek;-;Hamburg;Hoffmann und Campe;-;0;YQ;0;0;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;0
Vereinigung der privaten Aktiengesellschaften;Jahrbuch 1999/2000;0;224;Druckerzeugnis;37960.35069;Mit Administrativbericht über das 48. Geschäftsjahr  vom 1. Januar 1999 bis zum 31. Dezember 1999;Haupt-Bibliothek;JB 140 7;Basel / Riehen;Rotstift AG und A. Schudel & Co. AG;2000;0;JB;0;0;Allgemeine Steuerrechtsliteratur;Festschriften, Sammelwerke, Bibliographien;0
IBFD;European Tax Handbook 2002;90-76078-45-9;712;Druckerzeugnis;37960.35069;0;Haupt-Bibliothek;KA 336;Amsterdam;International Bureau of Fiscal Documentation;2002;0;KA;0;0;Ausländisches Steuerrecht;Staatenverbände, Staatengruppen;0
Hahn L. Albert;Geld und Gold;0;272;Druckerzeugnis;38236;Vorträge und Aufsätze 1962 - 1968;Haupt-Bibliothek;AK 0231;Basel;Kyklos-Verlag;1969;0;YK;0;0;Wirtschaftswissenschaften;Geld, Kredit- und Bankwesen. Bankbetriebslehre;0
Ministère de l'Economie et des Finances;La situation du Trésor et de la dette publique au 31 décembre 1967;0;86;Druckerzeugnis;37874;0;Separata;DA Sep. 05;Paris;0;1968;0;YL2;YL7;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;"Haushaltsaufstellung, -verwaltung und -kontrolle-	Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder"
Fischer Hans;Finanzielle Leistungen - insbesondere Abgeltungsleistungen - des Bundes an die Deutsche Bundesbahn (DB);0;393;Druckerzeugnis;38360;0;Haupt-Bibliothek;EF 159;Berlin;Freie Universität, Wirtschaftswissenschaft;1974;0;YQ;0;0;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;0
Frey René L.;Infrastruktur Grundlagen der Planung öffentlicher Investitionen;3.16.333461.X;125;Druckerzeugnis;38360;0;Haupt-Bibliothek;AJ 204;Tübingen/Zürich;J.C.B. Mohr (Paul Siebeck)/ Schulthess Polygraphischer Verlag AG;1972;0;YY;0;0;Wirtschaftswissenschaften;Regionale Wirtschaftspolitik. Stadtplanung;0
Wollmann Hellmut/Hellstern Gerd-Michael;Evaluierung und Erfolgskontrolle in Kommunalpolitik und Verwaltung;3-7643-1526-1;497;Druckerzeugnis;37960.35069;Reihe:Stadtforschung aktuell, Bd. 6;Haupt-Bibliothek;EG 134;Basel  und andere;Birkhäuser;1984;0;YQ;0;0;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;0
Montavon Pascal;Fiscalité SA/SARL;0;166;Druckerzeugnis;37960;0;Haupt-Bibliothek;PK 179;Lausanne;Editions juridiques AMC;1998;0;PK;0;0;Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern;Besteuerung juristischer Personen, Kapitalgesellschaften;0
Rihs Marc;EU-Zinsbesteuerung - Auswirkungen auf die Schweiz;3-7272-1728-6;76;Druckerzeugnis;37960.35069;Schweizer Schriften zur Europäischen Integration, Nr. 29;Haupt-Bibliothek;LC 0925;Bern / Zürich;Stämpfli Verlag AG Schulthess Juristische Medien AG;2001;0;LC;0;0;Interkantonales/Internationales Steuerrecht;Internationales Steuerrecht;0
Fuest Winfried/Kroker Rolf;Grenzen der Steuer- und Abgabenbelastung;3.602.24712.0;52;Druckerzeugnis;37874;0;Haupt-Bibliothek;CA 220;Köln;Deutscher Instituts-Verlag GmbH;1983;0;YL7;YL8;YL9;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder-	Allgemeine Steuerlehre, Steuersystem einzelner Länder-	Betriebswirtschaftliche Steuerlehre"
Tettinger Peter J.;Ingerenzprobleme staatlicher Konjunktursteuerung auf kommunaler Ebene;3.261.00871.7;334;Druckerzeugnis;38360;0;Haupt-Bibliothek;AG 227;Bern und Frankfurt/M.;Herbert und Peter Lang;1973;0;YN;0;0;Wirtschaftswissenschaften;Konjunkturschwankungen, Stabilitätspolitik;0
Hermann Otto;Finanzverfassung;Bestell-Nr. 204a;31;Druckerzeugnis;37960.35069;0;Separata;AC Sep. 03;Essen;Verlag für Wirtschaft und Verwaltung Hubert Wingen;1966;0;YL1;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Allgemeines
Locher Peter;Einführung in das interkantonale Steuerrecht;3-7272-0919-4;221;Druckerzeugnis;37960.35069;Unter Berücksichtigung des Steuerharmonisierungs- sowie des bernischen Steuergesetzes- 1. A.;Haupt-Bibliothek;LB 110 1;Bern;Stämpfli Verlag AG;1999;0;LB;0;0;Interkantonales/Internationales Steuerrecht;Interkantonales Steuerrecht;0
Deppeler Rolf/Wertenschlag Rudolf;Hochschulpolitische Bilanz und Rechtslage;0;98;Druckerzeugnis;38322;0;Haupt-Bibliothek;AF 223;Bern;Schweiz. Wissenschaftsrat;1989;0;YX;0;0;Wirtschaftswissenschaften;Sozialpolitik. Gesundheitswesen. Bildungsökonomie;0
Hujer Reinhard;Forschungspolitik und gesellschaftliche Planung;3.531.11218.X;98;Druckerzeugnis;38360;0;Haupt-Bibliothek;AG 220;Opladen;Westdeutscher Verlag;1974;0;YN;0;0;Wirtschaftswissenschaften;Konjunkturschwankungen, Stabilitätspolitik;0
Schoof Dieter;Geld und Vermögen in makroökonomischen Modellen;3 428 03973 4;157;Druckerzeugnis;38236;Untersuchungen über das Spar-, Giro- und Kreditwesen, Bd. 90;Haupt-Bibliothek;AK 0262;Berlin;Duncker & Humblot;1977;0;YK;0;0;Wirtschaftswissenschaften;Geld, Kredit- und Bankwesen. Bankbetriebslehre;0
Märkle Rudi;Lagebericht von der Front der Betriebsaufspaltung;3 504 62642 9;29-60;Druckerzeugnis;37960.35069;In: Fachinstitut der Steuerberater (Hrsg.): Steuerberater-Jahrbuch, Bd. 49;Haupt-Bibliothek;-;Köln;Dr. Otto Schmidt KG;-;0;JB;0;0;Allgemeine Steuerrechtsliteratur;Festschriften, Sammelwerke, Bibliographien;0
Jeanrenaud Claude/Moesen Wim;Gérer l'austérité budgétaire;2-7178-1875-8;181;Druckerzeugnis;37960.35069;0;Haupt-Bibliothek;VG 139;Paris;Economica;1990;0;YL2;YL7;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;"Haushaltsaufstellung, -verwaltung und -kontrolle-	Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder"
Schauer Reinbert;EDV-Einsatz in Gemeinden;3 85320 503 8;160;Druckerzeugnis;38360;Lohnt sich eine intensivere Zusammenarbeit der Anwender?;Haupt-Bibliothek;EA 213;Linz;Rudolf Trauner;1990;0;YQ;0;0;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;0
Drömann Dietrich;Nichtsteuerliche Abgaben im Steuerstaat;3-428-10022-0;406;Druckerzeugnis;37960;Ein Beitrag zur dogmatischen Bewältigung von Verleihungsabgaben;Haupt-Bibliothek;KB 159;Berlin;Duncker & Humblot;2000;0;KB;0;0;Ausländisches Steuerrecht;Deutschland;0
Fachinstitut der Steuerberater;Steuerberater-Jahrbuch 1956/57;0;0;Druckerzeugnis;37960.35486;Band 8;Haupt-Bibliothek;JB 136;Köln;Dr. Otto Schmidt KG;1957;0;JB;0;0;Allgemeine Steuerrechtsliteratur;Festschriften, Sammelwerke, Bibliographien;0
Ketterer Karl-Heinz;Probleme der Neo-Quantitätstheorie und der Geldmengenpolitik;3.428.03334.5;112;Druckerzeugnis;38236;0;Haupt-Bibliothek;AK 0257;Berlin;Duncker & Humblot;1975;0;YK;0;0;Wirtschaftswissenschaften;Geld, Kredit- und Bankwesen. Bankbetriebslehre;0
ISC-Team;European Integration and Global Competitiveness;0;181;Druckerzeugnis;37960.35069;19. Internationales Management-Gespräch an der Hochschule St.Gallen;Haupt-Bibliothek;KA 150;St.Gallen;ISC;1989;0;KA;0;0;Ausländisches Steuerrecht;Staatenverbände, Staatengruppen;0
de Lourdes Pintasilgo Maria;L'Europe après 92;3.906088.05.7;12663;Druckerzeugnis;37960.35069;In: Brauchlin Emil: EG 92 und die Schweiz: Unternehmerische Chancen und Risiken;Haupt-Bibliothek;-;St. Gallen;FIM Forschungsstelle für Internationales Management;-;0;YL5;YM;0;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Internationaler Handel. Zahlungsbilanz und Wechselkurse";Finanzwirtschaft supranationaler Behörden
Stampfli Raoul;Die Leistung geheimer Kommissionen und ihre steuerrechtliche Behandlung;0;198;Druckerzeugnis;38077.63125;Diss. der Uni Bern;Haupt-Bibliothek;PE 1018;Solothurn;Druckerei Rothen;1986;0;PE;0;0;Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern;Einkommen Selbständigerwerbender, Unternehmungsbesteuerung;0
Sauer Otto/Trappe Hermann;Der Nebenverdienst Arbeitsrecht - Steuer - Sozialversicherung Ein Leitfaden durch das Recht der Nebentätigkeit und der Nebeneinkünfte;0;204;Druckerzeugnis;38077.62917;3.A.;Haupt-Bibliothek;PD 204 3;Bielefeld;Erich Schmidt;1975;0;PD;0;0;Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern;Einkommen Unselbständigerwerbender;0
Fachinstitut der Steuerberater;Steuerberater-Jahrbuch 2008/09;978-3-504-62654-9;435;Druckerzeugnis;40135.68125;zugleich Bericht über den 60. Fachkongress der Steuerberater Köln, 21. und 22. Oktober 2008;Haupt-Bibliothek;JB 136;Köln;Dr. Otto Schmidt KG;2009;0;JB;0;0;Allgemeine Steuerrechtsliteratur;Festschriften, Sammelwerke, Bibliographien;0
Schelbert-Syfrig Heidi/Harabi Najib/Halbherr Philipp;Schweizerische Volkswirtschaft unter Innovationsdruck;3.258.03524.5;114;Druckerzeugnis;38327;0;Haupt-Bibliothek;AG 383;Bern;Paul Haupt;1985;0;YN;0;0;Wirtschaftswissenschaften;Konjunkturschwankungen, Stabilitätspolitik;0
