Flick Hans;Wassermeyer Franz;Baumhoff Hubertus;Aussensteuerrecht;Bd. III;0;0;3-504-26041-6;;Loseblattwerk;Kommentar;KB 308 3;KÃ¶ln;Otto Schmidt;2017;iff_doc_missing;CSV line 1;155189379;0;0;;;
Kirchgässner Gebhard;0;0;Eine moderne Steuer- und Abgabenordnung für die Schweiz;0;0;0;3-7253-0666-4;136;Druckerzeugnis;Vorüberlegungen und Grundzüge;JA 154;Chur;Rüegger;1999;bestcase;207753;;;;;;
Giscard d'Estaing Valériy M.;0;0;Le Bulletin de l'économie et des finances;0;0;0;4 071003 5;186;Druckerzeugnis;Nr. 67, Juillet-Septembre 1974;EA 145;Paris;Imprimerie Nationale;1974;leave;993319;;;;;;
Völlmin Dieter;0;0;Grundrechtsschutz bei inflationsverzerrtem Steuerrecht;0;0;0;3 7190 1014 7;233;Druckerzeugnis;0;JD 142;Basel;Helbing & Lichtenhahn;1988;bestcase;10101;;;;;;
Huber Wolf;0;0;Gemeindeabgaben und kommunale Wirtschaftsstrutur;Ein Beitrag zur kommunalen Finanzstatistik;0;0;0;17-;Druckerzeugnis;in: WIST Inf.Nr. 46 September 1979;EC Sep. 08;0;0;1979;leave;993334;;;;;;
Gross Volker;0;0;Das Anstellungsverhältnis des GmbH-Geschäftsführers im Zivil--Arbeits--Sozialversicherungs- und Steuerrecht;0;0;0;0;421;Druckerzeugnis;Rechtsfragen der Handelsgesellschaften, Heft 53;PL 318;Köln;Otto Schmidt;1987;leave;993343;;;;;;
Letsch Hans;0;0;Finanz- und Steuerpolitik im schweizerischen Bundesstaat;0;0;0;0;57-79;Druckerzeugnis;Referat, gehalten am 4.12.84 an der HSG;AK Sep. 436;0;0;1985;replacefromSwissbib;993350;350259585;0;0;https://www.swissbib.ch/Record/350259585;;
Felix Günther;Korn Klaus;Söffing Günter;Einkommensteuer-Forum 1985;0;0;0;0;106;Druckerzeugnis;Kölner Steuer-Arbeitsunterlagen, Einkommensteuer, Bd. 4;PE 0173;Köln;Arbeitskreis für Steuerrecht;1985;leave;993356;;;;;;
Harris Lowell C.;Labovitz I. M.;;Federal-State-Local Fiscal Relationships;0;0;0;0;489;Druckerzeugnis;Symposium conducted by the Tax Institute of America;CA 137;Princeton;Tax Institute of America;1968;leave;993363;;;;;;
Stadler Markus;0;0;Inflation-Stagflation und Vermögensanlagen;0;0;0;0;298;Druckerzeugnis;Dissertation der HSG, Nr. 704, 1978;AK 0271;Winterthur;Verlag Hans Schellenberg;1978;HSB01duplicate;993369;34459;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=34459;;
Littmann Konrad;0;0;Haushaltnotlagen als Anspruchsgrundlage für Bundesergänzungszuweisungen;0;0;0;3.16.145648.3;307-321;Druckerzeugnis;In: Bea Franz Xaver/Kitterer Wolfgang (Hrsg.): Finanzwissenschaft im Dienste der Wirtschaftspolitik;;Tübingen;J.C.B. Mohr;1990;leave;993377;;;;;;
Natsch Walther Johannes;0;0;Instrumente der Regionalplanung;0;0;0;0;182;Druckerzeugnis;unter besonderer Berücksichtigung des zürcherischen Rechts;AJ 106;Zürich;Schulthess & Co. AG;1964;bestcase;78224;;;;;;
OECD;0;0;Higher Education Management Vol.4/No.2;0;0;0;92-64-13759-9;127-260;Druckerzeugnis;Journal of the Programme on Institutional Management in higher Education;EJ 102 4 2;Paris;OECD;1992;HSB01duplicate;993392;20574;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=20574;;
Jacobs Otto H.;0;0;Internationale Unternehmensbesteuerung;0;0;0;3 406 34418 6;806;Druckerzeugnis;Handbuch zur Besteuerung deutscher Unternehmen mit Auslandsbeziehungen - 2. A.;LD 135 2;München;C.H. Beck;1991;bestcase;36562;;;;;;
Socher Karl;0;0;Koordination des Einsatzes geld- und finanzpolitischer Instrumente;0;0;0;3.428.02528.8;140;Druckerzeugnis;0;AK 0236;Berlin;Duncker & Humblot;1971;bestcase;204651;;;;;;
Goldberg Samuel;0;0;Differenzengleichungen und ihre Anwendung in Wirtschaftswissenschaft-Psychologie und Soziologie;0;0;0;0;353;Druckerzeugnis;0;AE 120;München;Oldenburg Verlag;1968;replacefromSwissbib;993413;145207838;0;0;https://www.swissbib.ch/Record/145207838;;
St.Galler Zentrum für Zukunftsforschung;0;0;Entwicklungsperspektiven des Endenergiebedarfs;Eingriffslose Entwicklung;0;0;0;101 + 66 Anhang;Druckerzeugnis;0;AG 297;Bern;EDMZ;1978;replacefromSwissbib;993423;403460557;0;0;https://www.swissbib.ch/Record/403460557;;
Stettler Alfred-u.a.;0;0;Information financière et offres publiques d'achat;0;0;0;0;39;Druckerzeugnis;Actes de la séance de clôture du séminaire d'expertise comptable 1989;BB 123;Lausanne;Ecole des HEC;1989;notfound;;;;;;;
Esdar Bernd;0;0;Kooperation in der Einkommenspolitik;0;0;0;3.16.342841.X;204;Druckerzeugnis;Eine empirische Untersuchung einkommenspolitischer Massnahmen in ausgewählten Ländern Europas;AH 181;Tübingen;J.C.B. Mohr;1980;HSB01duplicate;993439;360477;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=360477;;
IFF;0;0;Intensivkurs im Steuerrecht;19.-23.10.1987 und 11.-15.4.1988;0;0;-;;Druckerzeugnis;Kursunterlagen;JA 131;St. Gallen;IFF;1988;leave;992498;;;;;;
Andreae Clemens-August;;0;Handbuch der österreichischen Finanzwirtschaft;0;0;0;0;304;Druckerzeugnis;0;AA 208;Innsbruck;Tyrolia;1970;HSB01duplicate;993453;360751;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=360751;;
Kuhn Michael;0;0;Kompaktkommentar zum Doppelbesteuerungsabkommen (DBA) Deutschland-Schweiz;0;0;0;3-906355-54-3;101 + Anhang;Druckerzeugnis;2. A.;LD 153 2;Zürich;Handelskammer;1997;HSB01duplicate;993460;162753;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=162753;;
Reymond Jacques-André;0;0;La fiscalité en désarroi ou Les chênes qu'on abat;0;0;0;3 258 04186 5;277-288;Druckerzeugnis;In: Höhn, Ernst & Vallender, Klaus A., (Hrsg.): Steuerrecht im Rechtsstaat - Festschrift für Prof. Dr. Francis Cagianut zum 65. Geburtstag;;Bern;Paul Haupt;;replacefromSwissbib;993468;46065075;0;0;https://www.swissbib.ch/Record/046065075;;
Auer Andreas;Malinverni Giorgio;Hottelier Michel;Droit constitutionnel suisse;0;0;0;3-7272-0996-8;738;Druckerzeugnis;Volume II: Les droits fondamentaux;WB 170 2;Bern;Stämpfli;2000;HSB01duplicate;993476;205507;Volume II;Les droits fondamentaux;https://aleph.unisg.ch/F?func=direct&doc_number=205507;;
Reetz Norbert;0;0;Kapitaleinsatz und Kapitaleinkommen im stationären Gleichgewicht bei temporaler Disaggregation des Kapitalstocks;0;0;0;0;26;Druckerzeugnis;Vortrag an der HSG, gehalten am 31. Mai 1978;AK 1032;St. Gallen;Forschungsgemeinschaft für Nationalökonomie;1980;bestcase;290709;;;;;;
Wassermeyer Franz;Richter Stefan;Schnittker Helder;Personengesellschaften im Internationalen Steuerrecht;0;0;0;978-3-504-26057-6;1391;Druckerzeugnis;1. A.;LC 0935;Köln;Otto Schmidt;2010;reimportFromSwissbib;993490;266741355;0;0;https://www.swissbib.ch/Record/266741355;;
Thieme Werner;0;0;Der Haushaltsvollzug in der Verwaltungswissenschaft;0;0;0;-;153-168;Druckerzeugnis;In: Mäding-Heinrich: Haushaltsplanung - Haushaltsvollzug - Haushaltskontrolle;;;;;replacefromSwissbib;993499;350381925;0;0;https://www.swissbib.ch/Record/350381925;;
Hey Johanna;0;0;Harmonisierung der Unternehmensbesteuerung in Europa;0;0;0;3-504-64108-8;416;Druckerzeugnis;Ein Vorschlag unter Auswertung des Ruding-Berichts und der US-amerikanischen 'integration debate' Steuerfragen der Wirtschaft, Bd. 7;LC 6147;Köln;Otto Schmidt;1997;bestcase;146520;;;;;;
Starrett David A.;0;0;Foundations of Public Economics;0;0;0;0.521.34256.2;291;Druckerzeugnis;0;AA 325;Cambridge;Cambridge University Press;1988;HSB01duplicate;993515;23050;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=23050;;
Fox Karl A.;0;0;Intermediate Economic Statistics;0;0;0;0;559;Druckerzeugnis;0;AE 124;New York;Wiley;1968;HSB01duplicate;993523;293562;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=293562;;
IFSt;0;0;IFSt-Schrift 404;0;0;0;3-89737-099-9;95;Druckerzeugnis;Institut 'Finanzen und Steuern';Z 153 404;Bonn;Institut Finanzen und Steuern;2003;journal;;;;;;;
BIGA;0;0;Kostenrechnung für Fachhochschulen;0;0;0;0;41;Druckerzeugnis;Ein Leitfaden des BIGA;VF 140;Bern;BIGA;1997;leave;993539;;;;;;
Schubert B.;Hug C.;;Landschaftsplanung (Sondernummer);0;0;0;0;9 + 17 Pläne;Druckerzeugnis;0;AJ 180;Zürich;ORL-Institut;1970;HSB01duplicate;993547;443469;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=443469;;
Bachmann Otto;0;0;Entwicklung und Stand der Notenbankpolitik in den Ländern des Gemeinsamen Marktes und Möglichkeiten einer zukünftigen Gestaltung;0;0;0;0;134;Druckerzeugnis;Dissertation der Uni Freiburg, 1968;AK 0227;Frankfurt;Maschinenschrift;1968;HSB01duplicate;993555;293795;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=293795;;
Lüthi Daniel;0;0;Die Unterkapitalisierung von Kapitalgesellschaften im internationalen Steuerrech;0;0;0;3 7272 9220 2;573-591;Druckerzeugnis;In: Reich, M. & Zweifel, M., (Hrsg.): Das schweizerische Steuerrecht - Eine Standortbestimmung Festschrift zum 70. Geburtstag von Prof. Dr. Ferdinand Zuppinger;;Bern;Stämpfli;;leave;993564;;;;;;
IFF;0;0;Internationales Steuerseminar 2012;20./21.11.2012;0;0;-;;Druckerzeugnis;Kursunterlagen;LC 6173 4;St. Gallen;IFF;2012;leave;993231;;;;;;
Spinner Bruno;Maritz Daniel;0;EG-Kompatibilität des schweizerischen Wirtschaftsrechts;Vom autonomen zum systematischen Nachvollzug;0;0;3 7255 3887 5;127-138;Druckerzeugnis;In: Baldi, Marino, Baumann, Max & u.a., (Hrsg.): Der Einfluss des europäischen Rechts auf die Schweiz, Festschrift für Professor Roger Zäch zum 60. Geburtstag;;Zürich;Schulthess;;reimportFromSwissbib;993575;514723734;0;0;https://www.swissbib.ch/Record/514723734;;
Gornas Jürgen;0;0;Grundzüge einer Verwaltungskostenrechnung;0;0;0;3-7890-2659-X;241;Druckerzeugnis;Die Kostenrechnung als Instrument zur Planung und Kontrolle der Wirtschaftlichkeit in der öffentlichen Verwaltung - Schriften zur öffentlichen Verwaltung und öffentlichen Wirtschaft, Bd. 13;VF 125;Baden-Baden;Nomos;1992;HSB01duplicate;993583;47519;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=47519;;
World Health Organization;0;0;Evonomic research into health serv;0;0;0;92.890.1218.8;36;Druckerzeugnis;Report on a WHO-Workshop;X Sep. 04;Copenhagen;WHO-Office;1981;leave;993590;;;;;;
Parry Robert W.;Sharp Florence C.;Vreeland Jannet;Fire Department Programs;0;0;0;0910065-44-6;86;Druckerzeugnis;Service Efforts and Accomplishments Reporting: Its Time Has Come;VE 180 09;Norwalk;GASB;1991;leave;993596;;;;;;
Scherer Josef;0;0;Die Wirtschaftsverfassung der EWG;0;0;0;3.7890.0014.0;205;Druckerzeugnis;Europäische Wirtschaft;FB 114;Baden;Nomos;1970;bestcase;118470;;;;;;
OECD;0;0;Investir dans le tiers monde;0;0;0;92.64.21438.0;129;Druckerzeugnis;3. A.;AK 0535;Paris;OECD;1975;iff_doc_missing;CSV line 347;260637343;0;0;;;
Lüder Klaus;;0;Vergleichende Analyse öffentlicher Rechnungssysteme;0;0;0;0179-2326;274;Druckerzeugnis;Konzeptionelle Grundlagen für das staatliche Rechnungswesen mit besonderer Brücksichtigung der Bundesrepublik Deutschland - Speyerer Forschungsberichte, Bd. 97;VF 121;Speyer;Forschungsinstitut für öffentliche Verwaltung;1991;HSB01duplicate;993617;37414;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=37414;;
Smith Bruce L. R.;Caroll James D.;0;Improving the Accountability and Performance of Government;0;0;0;0-8157-7793-3;123;Druckerzeugnis;0;EA 199;Washington;Brookings Institution;1982;replacefromSwissbib;993626;411787829;0;0;https://www.swissbib.ch/Record/411787829;;
Arndt Klaus Dieter;0;0;Konjunkturpolitik;0;0;0;-;73-133;Druckerzeugnis;Zeitschrift für angewandte Konjunkturforschung, 14. Jg., 2. Heft 1968;VC 109;Berlin;Duncker & Humblot;1968;leave;993635;;;;;;
Sachverständigenrat zur Begutachtung der gesamtwirtschafltichen Entwicklung;0;0;Jahresgutachten 1979/80;Herausforderung von Aussen;0;0;3-17-003188-0;321;Druckerzeugnis;Jahresgutachten 1979/80;AG 201 16;Stuttgart;Verlag W. Kohlhammer GmbH;1979;bestcase;201486;;;;;;
Leitner Roman;0;0;Finanzstrafrecht 2012;0;0;0;978-3-7073-2293-4;272;Druckerzeugnis;FinStrG-Novelle 2010: Abgabenbetrug, Vortaten der Geldwäscherei, Sanktionensystem neu;MH 147;Wien;Linde;2013;HSB01duplicate;993650;566545;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=566545;;
Kolms Heinz;0;0;Finanzwissenschaft IV;0;0;0;3-11-006939-3;237;Druckerzeugnis;Öffentlicher Kredit Öffentlicher Haushalt Finanzausgleich;AA 120 IVa;Berlin;Walter de Guyter & Co.;1976;leave;993659;;;;;;
Schmidt Ludwig;0;0;Einkommensteuergesetz;Kommentar;0;0;3 406 08663 2;1779;Druckerzeugnis;0;KB 313 1;München;C.H. Beck;1982;bestcase;147939;;;;;;
Ruppe Hans Georg;0;0;Einführung zum EStG;0;0;0;-;371;Druckerzeugnis;Sonderdruck aus Herrmann/Heuer/Raupach- Kommentar zm EStG und KStG;KB 304 01.1;Köln;Otto Schmidt;1990;leave;993673;;;;;;
Möller Elke;0;0;Die Chancengleichheit als Ziel der Bildungsplanung;0;0;0;-;334-343;Druckerzeugnis;In: Schäfers-Bernhard: Gesellschaftliche Planung;;;;;leave;993682;;;;;;
Kappeler Beat;0;0;Zur sozialen Dimension des Binnenmarktprogramms;0;0;0;3.906088.05.7;177-184;Druckerzeugnis;In: Brauchlin Emil: EG 92 und die Schweiz: Unternehmerische Chancen und Risiken;;St. Gallen;FIM Forschungsstelle für Internationales Management;;leave;993690;;;;;;
Ehrlicher Werner;0;0;Kompendium der Volkswirtschaftslehre;0;0;0;0;395;Druckerzeugnis;0;AA 124 1;Göttingen;Vandenhoeck & Ruprecht;1967;HSB01duplicate;993697;323586;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=323586;;
Marshall A. H.;0;0;Financial Management in Local Government;0;0;0;0 04 352050 2 Hardback 0 04 352051 0 Papercack;380;Druckerzeugnis;0;EB 103;London;George Allen & Unwin;1974;HSB01duplicate;993704;363192;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=363192;;
Schneider H. R.;0;0;EDV-Lösungskonzepte in der Kommunalverwaltung;0;0;0;0;4;Druckerzeugnis;Verwaltungspraxis;EC Sep. 01;Solothurn;0;1975;replacefromSwissbib;993711;84423153;0;0;https://www.swissbib.ch/Record/084423153;;
Pozzi Leone;0;0;Le système de gestion comptable des finances publiques;0;0;0;0;26;Druckerzeugnis;0;VF Sep. 03;Paris;Librairie Générale de Droit et de Jurisprudence;1957;leave;993719;;;;;;
Kanne Jürgen;0;0;Interne Investitionsfinanzierung in Afghanistan;0;0;0;0;627;Druckerzeugnis;Inaugural-Dissertation der Ruhr-Universität Bochum;AK 0531;0;Offset;1974;replacefromSwissbib;993728;260489700;0;0;https://www.swissbib.ch/Record/260489700;;
Buschor Ernst;Beck Roland;0;Europäische Öffnung der öffentlichen Submission?;0;0;0;3-258-04357-4;359-375;Druckerzeugnis;In: Haller Matthias/Hauser Heinz/Zäch Roger/andere: Ergänzungen;;Bern;Paul Haupt;;HSB01duplicate;993737;31673;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=31673;;
Kragen Adrian A.;McNulty John K.;0;Federal Income Taxation;0;0;0;-;1180;Druckerzeugnis;Cases and Materials American Casebook Series;PC 130 1;St. Paul;West Publishing;1970;notfound;;;;;;;
Hofmeister Albert;0;0;Effizienz und öffentliches Dienstrecht;0;0;0;-;100;Druckerzeugnis;Versuch einer kritischen Bilanz - Schriftenreihe der Schweizerischen Gesellschaft für Verwaltungswissenschaften (SGVW), Bd. 12 (Tagung der SGVW vom 7. November 1988);EA 266;Bern;Schweizerische Gesellschaft für Verwaltungswissenschaften;1990;replacefromSwissbib;993754;483547921;0;0;https://www.swissbib.ch/Record/483547921;;
Grottian Peter;Murswieck Axel;0;Zur theoretischen und empirischen Bestimmung von politisch-administrativen Handlungsspielräumen;0;0;0;3-455-09150-4;15-35;Druckerzeugnis;In: Grottian Peter/Murswieck Axel: Handlungsspielräume der Staatsadministration;;Hamburg;Hoffmann und Campe;;leave;993760;;;;;;
Watter Rolf;Vogt Nedim Peter;Bösch René;Kollektivanlagengesetz;Vor Art. 1 Abschnitte 1-4;0;0;-;219;Druckerzeugnis;Basler Kommentar - Unverkäuflicher Sonderdruck;PA 124;Basel;Helbing & Lichtenhahn;2009;HSB01duplicate;993766;462475;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=462475;;
Walker Felix;0;0;Die Wasserkraftnutzung im Wallis unter besonderer Berücksichtigung der finanzwirtschaftlichen Auswirkungen auf Kanton und Gemeinden;0;0;0;-;112;Druckerzeugnis;Dissertation der Universität Freiburg, 1967;AK 0406;Baden;Schweizerischer Wasserwirtschaftsverband;1967;bestcase;355072;;;;;;
OECD;0;0;Government Debt Management;1982;0;0;92-64-12299-0;60;Druckerzeugnis;Objectives and Techniques - Committee on Financial Markets;DA 157 1;Paris;OECD;1982;HSB01duplicate;993782;441771;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=441771;;
Hochreutener Hans Peter;0;0;Esquisse des droits de timbre fédéraux suisses;0;0;0;3 7190 1669 2;63;Druckerzeugnis;0;RA 207;Basel;Helbing & Lichtenhahn;1998;bestcase;158992;;;;;;
IFF;0;0;IFF-Aktuell Seminar 'Spezialfragen zur Mehrwertsteuerabrechnung / Stand der politischen Entwicklung';29./30.3.1995;0;0;-;;Druckerzeugnis;Kursunterlagen;QB 412;St. Gallen;IFF;1995;leave;993800;;;;;;
IFSt;0;0;IFSt-Brief 227;0;0;0;-;49;Druckerzeugnis;0;Z 153 227;Bonn;Institut Finanzen und Steuern;1983;journal;;;;;;;
Steinmann Walter;0;0;Grundlagen-Träger-Entscheidungsprozesse und parastaatliche Aspekte der kantonalen Wirtschaftsförderungspolitik;0;0;0;0;65;Druckerzeugnis;Forschungsprojekt: Parastaatliche Verwaltung Die Erfüllung öffentlicher Aufgaben durch private und halbstaatliche Institutionen;AJ 387;Zürich;Institut für Orts-, Regional- und Landesplanung, ETH-Hönggerberg;1980;leave;993816;;;;;;
Lang Michael;0;0;Einführung in das Recht der Doppelbesteuerungsabkommen;0;0;0;3-85122-695-X;172;Druckerzeugnis;0;LC 0192;Wien;Linde;1997;reimportFromSwissbib;993824;51592220X;0;0;https://www.swissbib.ch/Record/51592220X;;
Sutter Franz Philipp;Zehetner Ulf;0;Triangular Tax Cases;0;0;0;978-3-7073-0704-7;576;Druckerzeugnis;Schriftenreihe zum Internationalen Steuerrecht, Bd. 34;LC 1011;Wien;Linde;2004;replacefromSwissbib;993832;163646198;0;0;https://www.swissbib.ch/Record/163646198;;
Knechtenhofer Bernhard;0;0;Der Einbezug von Beteiligungen in den jährlichen Abschluss der Gemeinde;0;0;0;3-258-06687-6;330;Druckerzeugnis;Schriftenreihe des Instituts für Öffentliche Dienstleistungen und Tourismus - Beiträge zum Öffentlichen Management- Bd. 7 Hrsg. von Thomas Bieger, Kuno Schedler und Roland Scherer;YQ 002;Bern;Haupt;2003;bestcase;280302;;;;;;
von Armin Hans Herbert;0;0;Finanzkontrolle im Wandel;0;0;0;3-428-06732-0;328;Druckerzeugnis;Vorträge und Diskussionsbeiträge der 15. Verwaltungswissenschaftlichen Arbeitstagung 1988 des Forschungsinstituts für öffentliche Verwaltung bei der Hochschule für Verwaltungswissenschaften Speyer;VE 124;Berlin;Duncker & Humblot;1989;bestcase;20825;;;;;;
IBFD;0;0;European Tax Handbook 2000;0;0;0;90-76078-31-9;642;Druckerzeugnis;0;KA 336;Amsterdam;International Bureau of Fiscal Documentation;2000;replacefromSwissbib;993858;348901151;0;0;https://www.swissbib.ch/Record/348901151;;
Blankenburg Erhard;Schmid Günther;Treiber Hubert;Von der reaktiven zur aktiven Politik? Darstellung und Kritik des Policy Science-Ansatzes;0;0;0;3-455-09150-4;35-50;Druckerzeugnis;In: Grottian Peter/Murswieck Axel: Handlungsspielräume der Staatsadministration;;Hamburg;Hoffmann und Campe;;leave;993866;;;;;;
Vereinigung der Privaten Aktiengesellschaften;0;0;Jahrbuch 1999/2000;0;0;0;0;224;Druckerzeugnis;Mit Administrativbericht über das 48. Geschäftsjahr vom 1. Januar 1999 bis zum 31. Dezember 1999;JB 140 7;Basel;Rotstift;2000;journal;;;;;;;
IBFD;0;0;European Tax Handbook 2002;0;0;0;90-76078-45-9;712;Druckerzeugnis;0;KA 336;Amsterdam;International Bureau of Fiscal Documentation;2002;replacefromSwissbib;993876;34607181X;0;0;https://www.swissbib.ch/Record/34607181X;;
Hahn L. Albert;0;0;Geld und Gold;0;0;0;0;272;Druckerzeugnis;Vorträge und Aufsätze 1962 - 1968;AK 0231;Basel;Kyklos-Verlag;1969;HSB01duplicate;993883;293369;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=293369;;
Ministère de L'économie et des finances;0;0;La situation du Trésor et de la dette publique au 31 décembre 1967;0;0;0;0;86;Druckerzeugnis;0;DA Sep. 05;Paris;0;1968;leave;993890;;;;;;
Fischer Hans;0;0;Finanzielle Leistungen - insbesondere Abgeltungsleistungen - des Bundes an die Deutsche Bundesbahn (DB);;;0;0;393;Druckerzeugnis;0;EF 159;Berlin;Freie Universität, Wirtschaftswissenschaft;1974;notfound;;;;;;;
Frey René L.;0;0;Infrastruktur Grundlagen der Planung öffentlicher Investitionen;0;0;0;3.16.333461.X;125;Druckerzeugnis;0;AJ 204;Tübingen;J.C.B. Mohr;1972;HSB01duplicate;993905;199168;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=199168;;
Wollmann Hellmut;Hellstern Gerd-Michael;0;Evaluierung und Erfolgskontrolle in Kommunalpolitik und Verwaltung;0;0;0;3-7643-1526-1;497;Druckerzeugnis;Reihe:Stadtforschung aktuell, Bd. 6;EG 134;Basel;Birkhäuser;1984;replacefromSwissbib;993912;282642978;0;0;https://www.swissbib.ch/Record/282642978;;
Montavon Pascal;0;0;Fiscalité SA/SARL;0;0;0;0;166;Druckerzeugnis;0;PK 179;Lausanne;Editions juridiques AMC;1998;replacefromSwissbib;993922;480718628;0;0;https://www.swissbib.ch/Record/480718628;;
Rihs Marc;0;0;EU-Zinsbesteuerung;Auswirkungen auf die Schweiz;0;0;3-7272-1728-6;76;Druckerzeugnis;Schweizer Schriften zur Europäischen Integration, Nr. 29;LC 0925;Bern;Stämpfli;2001;bestcase;236105;;;;;;
Fuest Winfried;Kroker Rolf;0;Grenzen der Steuer- und Abgabenbelastung;0;0;0;3.602.24712.0;52;Druckerzeugnis;0;CA 220;Köln;Deutscher Instituts-Verlag;1983;bestcase;347700;;;;;;
Tettinger Peter J.;0;0;Ingerenzprobleme staatlicher Konjunktursteuerung auf kommunaler Ebene;0;0;0;3.261.00871.7;334;Druckerzeugnis;0;AG 227;Bern;Herbert und Peter Lang;1973;bestcase;306132;;;;;;
Hermann Otto;0;0;Finanzverfassung;0;0;0;Bestell-Nr. 204a;31;Druckerzeugnis;0;AC Sep. 03;Essen;Verlag für Wirtschaft und Verwaltung Hubert Wingen;1966;leave;993950;;;;;;
Locher Peter;0;0;Einführung in das interkantonale Steuerrecht;0;0;0;3-7272-0919-4;221;Druckerzeugnis;Unter Berücksichtigung des Steuerharmonisierungs- sowie des bernischen Steuergesetzes- 1. A.;LB 110 1;Bern;Stämpfli;1999;bestcase;176898;;;;;;
Deppeler Rolf;Wertenschlag Rudolf;0;Hochschulpolitische Bilanz und Rechtslage;0;0;0;0;98;Druckerzeugnis;0;AF 223;Bern;Schweiz. Wissenschaftsrat;1989;bestcase;19991;;;;;;
Hujer Reinhard;0;0;Forschungspolitik und gesellschaftliche Planung;0;0;0;3.531.11218.X;98;Druckerzeugnis;0;AG 220;Opladen;Westdeutscher Verlag;1974;HSB01duplicate;993970;353757;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=353757;;
Schoof Dieter;0;0;Geld und Vermögen in makroökonomischen Modellen;0;0;0;3 428 03973 4;157;Druckerzeugnis;Untersuchungen über das Spar-, Giro- und Kreditwesen, Bd. 90;AK 0262;Berlin;Duncker & Humblot;1977;bestcase;291583;;;;;;
Märkle Rudi;0;0;Lagebericht von der Front der Betriebsaufspaltung;0;0;0;3 504 62642 9;29-60;Druckerzeugnis;In: Fachinstitut der Steuerberater (Hrsg.): Steuerberater-Jahrbuch, Bd. 49;;Köln;Otto Schmidt;;leave;993985;;;;;;
Jeanrenaud Claude;Moesen Wim;0;Gérer l'austérité budgétaire;0;0;0;2-7178-1875-8;181;Druckerzeugnis;0;VG 139;Paris;Economica;1990;reimportFromSwissbib;993994;284401196;0;0;https://www.swissbib.ch/Record/284401196;;
Schauer Reinbert;0;0;EDV-Einsatz in Gemeinden;0;0;0;3 85320 503 8;160;Druckerzeugnis;Lohnt sich eine intensivere Zusammenarbeit der Anwender?;EA 213;Linz;Rudolf Trauner;1990;HSB01duplicate;994003;31509;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=31509;;
Drömann Dietrich;0;0;Nichtsteuerliche Abgaben im Steuerstaat;0;0;0;3-428-10022-0;406;Druckerzeugnis;Ein Beitrag zur dogmatischen Bewältigung von Verleihungsabgaben;KB 159;Berlin;Duncker & Humblot;2000;reimportFromSwissbib;994011;265467926;0;0;https://www.swissbib.ch/Record/265467926;;
Fachinstitut der Steuerberater;0;0;Steuerberater-Jahrbuch 1956/57;0;0;0;0;0;Druckerzeugnis;Band 8;JB 136;Köln;Otto Schmidt;1957;journal;;;;;;;
Ketterer Karl-Heinz;0;0;Probleme der Neo-Quantitätstheorie und der Geldmengenpolitik;0;0;0;3.428.03334.5;112;Druckerzeugnis;0;AK 0257;Berlin;Duncker & Humblot;1975;HSB01duplicate;994025;292169;0;0;https://aleph.unisg.ch/F?func=direct&doc_number=292169;;
ISC-Team;0;0;European Integration and Global Competitiveness;0;0;0;0;181;Druckerzeugnis;19. Internationales Management-Gespräch an der Hochschule St.Gallen;KA 150;St. Gallen;ISC;1989;leave;994035;;;;;;
de Lourdes Pintasilgo Maria;0;0;L'Europe après 92;0;0;0;3.906088.05.7;Sep 34;Druckerzeugnis;In: Brauchlin Emil: EG 92 und die Schweiz: Unternehmerische Chancen und Risiken;;St. Gallen;FIM Forschungsstelle für Internationales Management;;leave;994045;;;;;;
Stampfli Raoul;0;0;Die Leistung geheimer Kommissionen und ihre steuerrechtliche Behandlung;0;0;0;0;198;Druckerzeugnis;Diss. der Uni Bern;PE 1018;Solothurn;Druckerei Rothen;1986;bestcase;12105;;;;;;
Sauer Otto;Trappe Hermann;0;Der Nebenverdienst;Arbeitsrecht - Steuer - Sozialversicherung;;0;0;204;Druckerzeugnis;3.A.;PD 204 3;Bielefeld;Erich Schmidt;1975;replacefromSwissbib;994058;197983987;;0;https://www.swissbib.ch/Record/197983987;;
